"Font File","Plane","Block range","Block name","Code points[a]","Assigned characters","Scripts[b][c][d][e][f]","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0000..U+007F","Basic Latin[g]","128","128","Latin (52 characters), Common (76 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0080..U+00FF","Latin-1 Supplement[h]","128","128","Latin (64 characters), Common (64 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0100..U+017F","Latin Extended-A","128","128","Latin","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0180..U+024F","Latin Extended-B","208","208","Latin","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0250..U+02AF","IPA Extensions","96","96","Latin","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+02B0..U+02FF","Spacing Modifier Letters","80","80","Bopomofo (2 characters), Latin (14 characters), Common (64 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0300..U+036F","Combining Diacritical Marks","112","112","Inherited","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0370..U+03FF","Greek and Coptic","144","135","Coptic (14 characters), Greek (117 characters), Common (4 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0400..U+04FF","Cyrillic","256","256","Cyrillic (254 characters), Inherited (2 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0500..U+052F","Cyrillic Supplement","48","48","Cyrillic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0530..U+058F","Armenian","96","91","Armenian","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0590..U+05FF","Hebrew","112","88","Hebrew","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0600..U+06FF","Arabic","256","255","Arabic (237 characters), Common (6 characters), Inherited (12 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0700..U+074F","Syriac","80","77","Syriac","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0750..U+077F","Arabic Supplement","48","48","Arabic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0780..U+07BF","Thaana","64","50","Thaana","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+07C0..U+07FF","NKo","64","62","Nko","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0800..U+083F","Samaritan","64","61","Samaritan","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0840..U+085F","Mandaic","32","29","Mandaic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0860..U+086F","Syriac Supplement","16","11","Syriac","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+08A0..U+08FF","Arabic Extended-A","96","84","Arabic (83 characters), Common (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0900..U+097F","Devanagari","128","128","Devanagari (122 characters), Common (2 characters), Inherited (4 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0980..U+09FF","Bengali","128","96","Bengali","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0A00..U+0A7F","Gurmukhi","128","80","Gurmukhi","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0A80..U+0AFF","Gujarati","128","91","Gujarati","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0B00..U+0B7F","Oriya","128","91","Oriya","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0B80..U+0BFF","Tamil","128","72","Tamil","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0C00..U+0C7F","Telugu","128","98","Telugu","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0C80..U+0CFF","Kannada","128","89","Kannada","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0D00..U+0D7F","Malayalam","128","118","Malayalam","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0D80..U+0DFF","Sinhala","128","91","Sinhala","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0E00..U+0E7F","Thai","128","87","Thai (86 characters), Common (1 character)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0E80..U+0EFF","Lao","128","82","Lao","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+0F00..U+0FFF","Tibetan","256","211","Tibetan (207 characters), Common (4 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1000..U+109F","Myanmar","160","160","Myanmar","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+10A0..U+10FF","Georgian","96","88","Georgian (87 characters), Common (1 character)","","","","","","","","","","","","","","","","","","","",""
"A","0 BMP","U+1100..U+11FF","Hangul Jamo","256","256","Hangul","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1200..U+137F","Ethiopic","384","358","Ethiopic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1380..U+139F","Ethiopic Supplement","32","26","Ethiopic","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+13A0..U+13FF","Cherokee","96","92","Cherokee","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1400..U+167F","Unified Canadian Aboriginal Syllabics","640","640","Canadian Aboriginal","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1680..U+169F","Ogham","32","29","Ogham","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+16A0..U+16FF","Runic","96","89","Runic (86 characters), Common (3 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1700..U+171F","Tagalog","32","20","Tagalog","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1720..U+173F","Hanunoo","32","23","Hanunoo (21 characters), Common (2 characters)","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1740..U+175F","Buhid","32","20","Buhid","","","","","","","","","","","","","","","","","","","",""
"D","0 BMP","U+1760..U+177F","Tagbanwa","32","18","Tagbanwa","","","","","","","","","","","","","","","","","","","",""
